,dataset,bootstrap_rate,rf,cv_mse_scores,mean_mse,std_mse
216,./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,1.0,RF[msl3],"[1444.4818637845701, 1848.3716899120807, 4499.634221760583, 866.9639317368978, 735.6996268284761, 5182.973206190027, 800.6194158129025, 4316.333208331085, 1144.498027002689, 3110.268912330755, 1278.1535626240561, 3473.0529386906333, 558.1516291404912, 3722.7463889529386, 1265.3690402687632, 2715.615909837504, 1688.749800574929, 2435.245801702222, 3182.824272944371, 1035.415033029104, 6463.777873913702, 499.0210541164731, 1191.7811600519906, 2593.490003572228, 1330.0444063500222, 3363.9008201287743, 2051.8181796088493, 2183.2525589383727, 1914.4389261633935, 1879.0860708689167, 2205.557214401593, 2122.591124914701, 823.7365890709065, 2888.170973057374, 401.5280876684105, 4820.832055133345, 2294.74948762007, 1604.9618094847795, 3930.2212856165215, 492.48565897521445, 2131.0343342398714, 1189.9279119612952, 2096.19349243243, 1443.6277157988436, 1152.781529370988, 3618.7400424800376, 3784.894350263798, 1197.667092922998, 2532.368703758682, 1465.8063132974385, 3988.635178737982, 826.9552533216141, 3284.066088862021, 1285.6357077856524, 4794.834085507534, 1292.1318937825808, 931.2969875291985, 3851.075863577545, 1763.4718435106695, 2104.309122534679, 1709.3482132117329, 2209.9275093738274, 6916.12395608373, 632.0883828179535, 2365.2970404380235, 1418.9825220904688, 1063.5150092024253, 3572.3716498708513, 723.7861954908508, 3936.249150208933, 694.9384019468926, 4815.46653176942, 1083.1436345156528, 2243.9542160091173, 1132.653667999732, 3161.958289609632, 4322.734773637274, 442.9586043736875, 1224.6910688413195, 2495.862011815419, 1101.683392974729, 2453.6546690765467, 1272.604524145343, 3224.691674452282, 814.6008868271481, 2592.0650065419145, 1294.9295382997452, 2829.184120928512, 1432.7198259255676, 3341.5377179616903, 7461.053900056197, 707.5958304711637, 6167.09351602728, 602.8892907756804, 2100.398180888212, 1454.5993526612028, 2199.633117649717, 1124.667998063517, 2229.9181515938017, 1760.124757127419]",2274.278,1492.473
217,./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,1.0,RF[msl4],"[1652.2431884622952, 2214.1494104566355, 5047.40804442977, 1091.3132783621054, 934.5047831320321, 6097.758514832157, 1216.7250422446234, 4957.431348304443, 1460.3339223306111, 3886.7810709988607, 1644.4729215488637, 4242.966367784009, 695.6188978560858, 4312.961543613873, 1539.24009755836, 3182.246569174915, 1595.466065127689, 2815.930132443691, 4050.236702723126, 1321.25672077158, 6539.855147694474, 600.5088868857486, 1249.3552082740346, 3091.8124046128632, 1649.6161043979437, 3873.2067426573567, 2809.9582625964927, 2621.2219145070794, 2180.7025240593766, 2642.808003904439, 2596.3771614214816, 2388.7385387329177, 1124.1952740922707, 3387.2444546822485, 570.0879663131116, 5733.776069620977, 2841.2310944291185, 1891.1555456600706, 4887.6459027706205, 770.8525873856305, 2512.5017420790896, 1490.9193997402638, 2751.4924930571933, 1895.9123940224194, 1364.468076794987, 4229.206513889993, 4343.902502945591, 1586.7705576601793, 3252.913541979629, 1868.4840462449117, 4882.390978501846, 1210.2553793789987, 3681.5339588157026, 1574.7741780014214, 5338.970038874015, 1520.7119202551469, 1082.146599219553, 4530.552275709973, 2310.954742177586, 2423.1426381732476, 2146.5768918330277, 2626.0856145621633, 7390.817284389651, 730.2399184169457, 2758.1371879742774, 1891.7367911522736, 1192.2175927496655, 4150.4856907057665, 955.7983166984994, 4343.56595459723, 1013.0273556463912, 5251.9031005348015, 1422.4772995344183, 3196.253081590284, 1301.0060027561562, 3898.4518208632203, 5213.135784213142, 570.5577269273252, 1686.314701455916, 3090.7564435656386, 1390.8500872352581, 2892.9177778968347, 1779.4712967473838, 3679.4252939881426, 1312.3810412564571, 2861.944216926896, 1533.7633801356096, 3380.165041812134, 1446.1490718171626, 4087.466799466592, 7586.326822249283, 841.728229848188, 6354.250071371269, 793.998416041994, 2625.1228003413876, 1835.822456999383, 2599.039812115491, 1695.3998859106425, 2686.563873586185, 2160.9085036898127]",2696.346,1603.006
218,./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,1.0,RF[msl5],"[2057.7509340240013, 2805.6593036834015, 5882.99174306286, 1449.7122810540252, 1269.5038253895184, 6522.716648541482, 1622.1344909838306, 5524.789350945423, 1724.491263074818, 4660.493014553559, 2048.225511892208, 5080.746003414492, 1000.0757401152383, 4747.5523641958325, 1838.356511284219, 3429.733156550769, 1742.1833264872269, 3508.4657216635974, 4505.235384000489, 1619.7040564485017, 6579.747748688418, 1041.5830992063782, 1486.5896620119433, 3539.4680816001733, 1725.9933843257174, 4341.90719331152, 3240.00103954493, 2703.0495304001092, 2447.4057696754667, 3232.4412668535615, 2723.5037324698355, 2630.0789982643587, 1610.0222624802705, 3762.4015294591877, 719.5301662091732, 6321.957396085123, 3029.4301797390026, 2258.1740091431884, 5221.046887227898, 881.8571306807041, 2874.5259147617626, 2044.2574481277493, 3012.8580697400184, 2137.639255397758, 1478.0310215438653, 4790.961268087288, 4862.453375300465, 1716.8173156207688, 3693.2546357942324, 2023.8136421791692, 5220.1104222802105, 1418.197651212757, 3873.0171706145334, 1952.6411856818345, 5835.9353473733745, 1692.4685966610798, 1252.9116143916756, 5074.856082425749, 2582.0698089086245, 2865.8902556549756, 2481.3286703194217, 3088.1700980746164, 7932.960202943809, 852.8409131327348, 3121.2025549821615, 2290.214650245732, 1493.7540822348444, 4473.987776801068, 1118.8267700851286, 5102.803821447748, 1353.6758358815239, 5911.855595623361, 1971.4558655485394, 3461.893253469207, 1493.029255853571, 4544.764720830725, 5626.188772870677, 843.9134751436486, 2336.664358785458, 3376.9468438721087, 1713.5142771152075, 3316.256664293609, 2170.448311276277, 4071.344630627245, 1734.4849516244808, 3132.4053292190856, 1729.7628370185223, 3738.457591612726, 1522.6823393102984, 4402.234086711425, 7924.43749157767, 1134.5107713539442, 6664.875730516543, 730.9366418160299, 3366.8985139271, 2239.376038034844, 3137.268686121631, 1866.542733367836, 3091.1478560478195, 2289.0678500264603]",3057.926,1683.384
219,./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,1.0,RF[mfLog2],"[1012.646801594759, 1533.5401116021853, 3407.0153018805327, 367.99656711068826, 580.9467805976881, 4047.4428812843526, 706.0336958132082, 3842.0607100222896, 1233.827318251892, 2123.804283303942, 841.2096604121233, 3254.8198812720434, 552.4734235470812, 3012.788667456708, 1329.8864374690738, 1857.9123665302761, 1761.513303138526, 2058.853317159143, 3314.126174366652, 795.3187131079197, 4879.99139928975, 418.57780244559416, 979.0929427472788, 2315.162803895959, 922.9566151322053, 2400.6005850331353, 1649.2606467492058, 1232.0314292215392, 1433.6354110245106, 1031.7638070624475, 807.6466647505215, 1710.6554275975575, 912.3468680573361, 2213.891630240386, 386.3945893598051, 3810.4836344148575, 1309.3294907363418, 1258.084895715987, 3284.1262752404505, 628.8647968901464, 1633.6834869115014, 830.3174862938649, 1383.2131968726853, 1545.446224120548, 1050.7296599936062, 3270.129025710586, 3957.706615751986, 947.8674653287582, 1758.714927055187, 1334.6621460593362, 3191.6413093678875, 762.7848558392435, 1511.5375052536722, 1638.5256182045725, 4300.570314283252, 867.160249967479, 1047.4123291965846, 2943.773606156324, 1444.3768634691392, 1640.5722312106125, 1267.2985152730641, 1645.6131014162897, 6184.21256134198, 311.4185692368488, 1582.1914165919454, 1026.0738628864929, 1154.8276910674551, 2439.395105856186, 777.5688009835368, 3210.4069870065077, 561.503791327474, 4590.536338604293, 1136.3291974857182, 2342.68770681423, 1152.47629563962, 3640.066155162138, 3665.818494235909, 477.5115406582067, 1469.5739191987464, 1875.7066127253602, 1240.1071911433285, 1932.5545986413067, 1180.772933336441, 2669.865308617712, 1106.8862286472106, 2344.3709310739678, 1237.5164504655818, 1900.3903299506296, 1047.8605409364336, 3359.1803962204876, 6580.977468733481, 715.1876648632616, 5475.741269662583, 690.7705653316391, 1416.488971213673, 1069.6426517177947, 2318.8520184021572, 1323.8639304483256, 1931.3665422647425, 1460.6979551679658]",1897.942,1288.021
220,./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,1.0,RF[mfAll],"[893.9544373345037, 1148.0355809424575, 3357.623652981163, 704.185628396317, 751.7706232288881, 3761.117716577431, 700.9433244634088, 3470.8456026984877, 934.8593132649015, 2486.188943476133, 945.9756249460515, 3038.1942422423176, 543.333896466596, 2452.9613121769016, 1393.3185634983458, 1967.0025099342886, 1629.8112329915557, 1811.2510534853732, 2541.980429614375, 764.9028684572137, 5513.338876668147, 428.7519916121216, 1065.1480352243773, 2026.9516325425056, 1135.6125987453902, 2269.7369724651917, 1455.9692977427992, 1545.6079297485487, 1461.9819584626364, 1285.295777531265, 1260.612654809971, 1517.2756973698204, 974.2842584888157, 2157.9551082540947, 372.3032688477564, 3915.3851017087673, 1406.9016110796074, 1140.5623430458475, 2899.2872055587436, 492.5274166604744, 1474.228543990813, 725.3573766014737, 1354.5316531743265, 1258.343179710223, 1005.5949233374259, 2828.4835090553856, 3571.863649437248, 925.8134077904716, 1857.5718663798523, 1201.6826476238575, 3011.434928528875, 738.193302594567, 2167.3131606773486, 1375.5281269915108, 3949.5615022382785, 1059.2814750409432, 967.5375944767263, 2499.208711607628, 1232.782531727272, 1622.7755294646147, 1004.8153483731445, 1469.7431886393738, 5807.9328165422085, 554.9533990895472, 1651.4328364980452, 900.7063137860575, 1101.0109290198775, 2042.8941428303647, 697.0518855930384, 3411.1219369093287, 710.9676476643356, 4547.901818863201, 986.6308453770914, 1890.9853130315887, 1004.1277302129952, 2859.4004044986054, 3636.319846374984, 416.91946997297293, 1384.471259963879, 1651.252963760115, 1196.8663623291395, 1689.4134260373964, 1046.054745690279, 2376.7174806792473, 703.3258600671815, 2283.0388680518327, 1332.7234378242433, 1850.613681199679, 1259.382485240595, 3034.8162677216733, 6362.456280720528, 506.70048440676186, 5073.241691042661, 542.8565778885242, 1588.005383095994, 850.2088379762444, 1907.5179282676022, 1097.3122517318684, 1767.816627151897, 1192.275574341654]",1798.428,1219.431
221,./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,1.2,RF,"[1125.2045243103444, 1034.1455141314932, 3076.115005352005, 962.1106179966074, 682.7994942910365, 3350.819246244755, 663.2897918016535, 3379.4906345203676, 1000.8873496946268, 2430.57709002945, 1101.7615754860353, 2816.7688903245626, 586.5823859585926, 2467.067972543977, 1408.6775831718626, 1973.4528743491462, 1537.6282787939288, 1963.3266695016866, 2518.7384472099925, 916.314781796646, 4928.234374659389, 382.6381123097674, 1064.439288569716, 1889.5979129946493, 1190.910354113145, 2201.296824798711, 1448.9312059061538, 1922.1285852693802, 1621.8633197954164, 1309.1204708637563, 1227.3712950891336, 1615.3368762632663, 848.4473582161588, 2296.729158192672, 660.310747867797, 3531.5321205068567, 1502.8185041686543, 1019.9906481554345, 2737.6230257288744, 513.2207252758006, 1294.3886386873407, 749.424330363032, 1274.2861232378557, 1312.1104845447794, 926.6755790634219, 2705.5191507010927, 3151.896982910434, 927.0894997986712, 1757.5840551550048, 1290.9792495302165, 3026.245605092146, 695.9892194627283, 2373.0509042287204, 1408.908054691328, 3658.2802495648893, 1189.5732552659633, 951.4782392102367, 2377.0248792066986, 1177.5897971495542, 1378.0239273056275, 1073.2449385675393, 1400.7073144764277, 5505.963220495457, 671.308502257611, 1371.7383485872854, 934.9606436607329, 1073.2187960788767, 2083.3920853883883, 720.7257643312988, 3559.3008332067684, 673.8787884362151, 4134.242105843495, 795.35581732473, 1775.3499516467882, 888.8708647858572, 2701.0697171574434, 3216.439353541951, 418.3972104862361, 1549.4579425437457, 1747.7976883500055, 1063.760441738162, 1916.9814416520753, 1040.3946765981455, 2753.3160193681997, 922.6376876499019, 2320.5132375220314, 1240.4911985213666, 2034.009429512705, 1465.9469231988712, 2988.9710889782464, 5703.2168930471125, 591.9252729568452, 4664.001944046204, 614.5020070671827, 1492.8743026759432, 973.436127469387, 1633.798866644537, 1333.7039452688825, 1750.413028039379, 1150.8078554127196]",1764.855,1102.699
222,./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,1.2,RF[200],"[1037.2141873991484, 1032.7229281381876, 3246.3469618239697, 859.588486089374, 687.8175386800027, 3375.4647460973715, 583.7880796445119, 3351.055898334475, 982.9157894037502, 2550.124957577257, 1153.1465355091934, 2699.182255899392, 507.16704751417416, 2499.0657794479807, 1355.3395385556562, 2023.6075610708883, 1534.0255752574437, 2011.7479381518244, 2506.7071434899694, 856.880413981977, 5076.48333892306, 422.3583205886242, 1138.6590235923022, 1996.448229049052, 1134.823005196931, 2425.622491316644, 1545.9268069537104, 1909.1677063464604, 1671.7813222494738, 1433.9399246184928, 1407.6266048918853, 1672.9995736189562, 867.5580881842488, 2257.7272793766538, 622.5501318876383, 3764.1132170809847, 1490.9648221255927, 964.3644704008192, 2669.357057549181, 504.5837423040695, 1455.2200047654267, 650.3737286146201, 1283.0926260772974, 1383.743086917728, 1061.0754778181058, 2710.0525067610793, 3010.9864841828776, 907.4679670916671, 1915.6715037867757, 1364.5262563690928, 3129.0908293133743, 743.0345759648808, 2285.890703866753, 1407.8539861325587, 3732.005412840377, 1249.4376351651003, 992.726027833398, 2340.4502518206054, 1254.2583026590207, 1457.2093018848843, 1053.3338108785888, 1419.3524001453702, 5530.9973899134675, 634.9327395808446, 1406.5088688082863, 947.4912863980961, 1001.721727346882, 2010.5609004455507, 686.9319976162992, 3551.383775329889, 666.3309448118201, 4117.147270496038, 843.5248699047785, 1822.3549175344754, 892.7779842429128, 2850.664745580413, 3378.249998913141, 439.03745535906523, 1420.3482121575214, 1681.7055702603636, 1011.3740069453269, 1879.8237439705695, 1061.5525750800875, 2607.799423857272, 932.1606543727479, 2226.0235529842194, 1334.8243570339562, 2022.8603977803816, 1446.7741865660994, 2786.833520775522, 5863.863630962657, 550.6607185242642, 4724.4596586423895, 637.6782033849498, 1468.0941745056, 942.5049725594421, 1700.8361258556467, 1230.0178194567402, 1693.6391973783118, 1178.6473589915993]",1778.209,1121.977
223,./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,1.2,RF[500],"[975.3305561182021, 1078.065809993375, 3265.36148111986, 858.347480425547, 692.6928090492273, 3359.297648511376, 620.5034097446039, 3264.8432058281564, 961.7877510986087, 2594.382990361071, 1014.2964214335383, 2791.798906800304, 493.03089347650354, 2439.0805158662088, 1434.0646938876491, 1887.2712269317612, 1460.3004349924727, 1947.9149647588417, 2569.3268809545975, 814.595491975673, 5179.007248521561, 428.0274883080708, 1088.897386852916, 1950.1808718373325, 1104.8650702658738, 2306.9959544425683, 1522.4929059558212, 1725.244324330168, 1599.5321624859025, 1341.2243050276595, 1275.7109440404126, 1672.440342155921, 842.1530820548007, 2205.05684278087, 525.2663332401333, 3755.1131019975232, 1468.4258433256305, 1010.4246062435055, 2545.7670396409376, 460.6239170689062, 1427.4316189160486, 657.5889843557486, 1393.7626355570926, 1409.6520549219072, 1113.123302293723, 2685.4066892397113, 2972.3625693035433, 870.7026304904673, 1872.5173077637728, 1383.5438656794581, 3064.052143353476, 709.5341795763445, 2293.0475191513, 1406.3115849265453, 3665.2398927790364, 1167.7451022181044, 1045.3080567984155, 2366.3229882181495, 1182.4952272611379, 1300.7241525944685, 1010.7425348130336, 1319.9643656715587, 5525.882416930166, 598.0714254663493, 1356.370701037097, 973.6753809941259, 986.7738253789936, 2039.1617021556713, 669.6779526149038, 3472.4723657358536, 681.654284954921, 4156.067004391257, 879.4702222408649, 1772.8479786963612, 997.4606748513704, 2854.6198494625373, 3415.9219151276848, 436.9629741596456, 1363.3784127674567, 1700.7917856238796, 969.2398355973804, 1840.6986170446594, 1091.4215909321492, 2544.127842491138, 903.6672860172749, 2229.1714253126784, 1267.877589549878, 1852.8845960125298, 1306.9849069096736, 2748.415682580608, 5880.514146621802, 564.2940411690979, 4804.7980688469215, 573.6150395606511, 1416.419481255087, 827.8676064863231, 1745.128171552402, 1138.9384994272518, 1649.8706182147469, 1040.121687479697]",1751.246,1130.681
224,./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,1.2,RF[md10],"[1145.3822265401698, 1034.1455141314939, 3071.7442023675444, 962.1106179966075, 682.7914791853394, 3350.8192462447546, 663.2897918016538, 3380.336003941625, 1000.8873496946266, 2430.577090029449, 1105.7256411613923, 2816.768890324562, 586.5823859585923, 2467.067972543977, 1393.3203285328043, 1964.2685382028315, 1537.6282787939288, 1963.326669501686, 2518.738447209993, 916.3147817966448, 4928.23437465939, 382.6381123097671, 1063.2357895661432, 1889.5979129946488, 1181.262346349644, 2201.2968247987083, 1448.9312059061535, 1922.1285852693807, 1621.8633197954173, 1309.120470863755, 1227.3712950891338, 1615.3652026412099, 848.4473582161587, 2296.7291581926715, 660.3107478677971, 3531.5321205068567, 1502.8185041686545, 1019.9906481554347, 2737.623025728873, 513.5103230420041, 1294.3886386873407, 749.424330363032, 1274.2861232378557, 1306.0353994781801, 926.6755790634228, 2727.352710034909, 3152.7716669665942, 927.0894997986718, 1757.5840551550068, 1290.9792495302163, 3026.2456050921464, 697.7454360261116, 2373.0509042287213, 1408.9080546913276, 3658.280249564892, 1189.5732552659636, 951.4782392102356, 2377.024879206698, 1178.8781522417385, 1378.0239273056259, 1073.2449385675384, 1400.3139826045622, 5505.963220495458, 671.3085022576112, 1371.738348587285, 932.2644576766829, 1073.2187960788756, 2083.3920853883865, 720.7257643312984, 3559.3008332067684, 673.8787884362152, 4134.242105843494, 798.8723054128303, 1775.3499516467903, 888.8708647858577, 2744.543497502971, 3216.4393535419504, 426.8145687217049, 1549.457942543745, 1747.7976883500053, 1063.7604417381626, 1916.9814416520746, 1040.3946765981461, 2753.3160193682006, 922.6376876499016, 2320.5132375220314, 1240.491198521366, 2034.009429512706, 1465.9469231988717, 2988.971088978248, 5703.21689304711, 591.9252729568453, 4664.0019440462, 614.5020070671828, 1480.336660969554, 973.4361274693882, 1633.7988666445372, 1333.2450750083476, 1739.8041116165543, 1150.2392185088827]",1765.189,1103.114
225,./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,1.2,RF[md15],"[1125.2045243103448, 1034.1455141314939, 3076.115005352005, 962.1106179966072, 682.7994942910368, 3350.819246244755, 663.2897918016545, 3379.4906345203685, 1000.8873496946277, 2430.5770900294488, 1101.7615754860365, 2816.768890324561, 586.5823859585925, 2467.067972543977, 1408.677583171861, 1973.452874349147, 1537.6282787939288, 1963.3266695016866, 2518.738447209993, 916.3147817966458, 4928.234374659389, 382.6381123097668, 1064.4392885697168, 1889.5979129946497, 1190.910354113145, 2201.2968247987105, 1448.9312059061538, 1922.12858526938, 1621.8633197954164, 1309.1204708637551, 1227.3712950891338, 1615.336876263267, 848.4473582161589, 2296.7291581926734, 660.3107478677964, 3531.5321205068567, 1502.8185041686545, 1019.9906481554347, 2737.623025728874, 513.2207252758009, 1294.3886386873407, 749.4243303630316, 1274.2861232378557, 1312.11048454478, 926.675579063422, 2705.5191507010954, 3151.8969829104326, 927.089499798672, 1757.5840551550057, 1290.979249530216, 3026.2456050921483, 695.989219462728, 2373.0509042287213, 1408.9080546913283, 3658.2802495648916, 1189.573255265964, 951.4782392102354, 2377.0248792066973, 1177.589797149554, 1378.0239273056275, 1073.2449385675382, 1400.707314476428, 5505.963220495458, 671.3085022576116, 1371.7383485872851, 934.9606436607335, 1073.2187960788765, 2083.3920853883856, 720.7257643312984, 3559.3008332067684, 673.8787884362148, 4134.242105843495, 795.3558173247304, 1775.349951646788, 888.8708647858572, 2701.0697171574475, 3216.439353541951, 418.397210486236, 1549.4579425437448, 1747.797688350007, 1063.7604417381624, 1916.9814416520746, 1040.3946765981457, 2753.316019368202, 922.6376876499012, 2320.5132375220282, 1240.491198521367, 2034.0094295127058, 1465.9469231988721, 2988.971088978247, 5703.216893047111, 591.9252729568453, 4664.001944046202, 614.5020070671828, 1492.874302675944, 973.4361274693867, 1633.7988666445372, 1333.7039452688819, 1750.413028039378, 1150.8078554127196]",1764.855,1102.699
226,./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,1.2,RF[md20],"[1125.2045243103441, 1034.145514131494, 3076.1150053520055, 962.110617996608, 682.7994942910367, 3350.8192462447555, 663.2897918016533, 3379.490634520369, 1000.8873496946276, 2430.5770900294497, 1101.7615754860353, 2816.768890324562, 586.5823859585928, 2467.0679725439772, 1408.677583171862, 1973.4528743491467, 1537.62827879393, 1963.3266695016864, 2518.738447209993, 916.3147817966451, 4928.23437465939, 382.6381123097675, 1064.439288569716, 1889.5979129946484, 1190.9103541131453, 2201.29682479871, 1448.9312059061542, 1922.1285852693793, 1621.8633197954161, 1309.1204708637563, 1227.3712950891338, 1615.3368762632667, 848.447358216158, 2296.7291581926706, 660.3107478677969, 3531.532120506861, 1502.8185041686547, 1019.9906481554348, 2737.6230257288744, 513.2207252758012, 1294.388638687341, 749.4243303630319, 1274.2861232378552, 1312.1104845447799, 926.6755790634222, 2705.5191507010954, 3151.8969829104326, 927.0894997986713, 1757.5840551550073, 1290.9792495302165, 3026.2456050921464, 695.9892194627283, 2373.050904228723, 1408.9080546913283, 3658.280249564892, 1189.5732552659636, 951.478239210237, 2377.024879206697, 1177.589797149553, 1378.0239273056275, 1073.244938567538, 1400.7073144764283, 5505.963220495459, 671.3085022576109, 1371.7383485872854, 934.960643660733, 1073.2187960788763, 2083.3920853883874, 720.7257643312984, 3559.3008332067684, 673.8787884362152, 4134.242105843495, 795.3558173247308, 1775.349951646788, 888.8708647858572, 2701.0697171574443, 3216.439353541951, 418.3972104862362, 1549.4579425437457, 1747.7976883500057, 1063.760441738163, 1916.9814416520755, 1040.394676598146, 2753.316019368202, 922.6376876499013, 2320.513237522028, 1240.4911985213664, 2034.0094295127058, 1465.9469231988724, 2988.971088978244, 5703.21689304711, 591.9252729568457, 4664.001944046199, 614.502007067183, 1492.8743026759435, 973.4361274693874, 1633.7988666445378, 1333.7039452688825, 1750.4130280393792, 1150.8078554127192]",1764.855,1102.699
227,./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,1.2,RF[md25],"[1125.2045243103435, 1034.1455141314939, 3076.115005352005, 962.1106179966077, 682.799494291037, 3350.819246244755, 663.2897918016539, 3379.490634520368, 1000.8873496946272, 2430.5770900294488, 1101.7615754860353, 2816.768890324561, 586.5823859585926, 2467.0679725439763, 1408.6775831718614, 1973.4528743491462, 1537.6282787939292, 1963.3266695016866, 2518.7384472099934, 916.3147817966457, 4928.234374659389, 382.6381123097674, 1064.4392885697168, 1889.5979129946493, 1190.9103541131444, 2201.2968247987096, 1448.9312059061524, 1922.1285852693802, 1621.8633197954173, 1309.1204708637565, 1227.3712950891347, 1615.3368762632672, 848.4473582161593, 2296.7291581926715, 660.3107478677972, 3531.532120506859, 1502.8185041686554, 1019.990648155435, 2737.6230257288744, 513.2207252758009, 1294.388638687341, 749.4243303630321, 1274.2861232378548, 1312.1104845447799, 926.6755790634221, 2705.519150701094, 3151.896982910434, 927.0894997986712, 1757.584055155007, 1290.9792495302163, 3026.245605092147, 695.989219462728, 2373.0509042287213, 1408.9080546913278, 3658.2802495648884, 1189.5732552659636, 951.4782392102367, 2377.0248792066973, 1177.5897971495542, 1378.023927305627, 1073.2449385675377, 1400.7073144764288, 5505.963220495458, 671.308502257611, 1371.7383485872856, 934.960643660732, 1073.2187960788756, 2083.3920853883874, 720.7257643312986, 3559.3008332067684, 673.8787884362151, 4134.242105843495, 795.3558173247304, 1775.349951646788, 888.8708647858571, 2701.069717157443, 3216.439353541951, 418.3972104862361, 1549.4579425437448, 1747.797688350006, 1063.7604417381622, 1916.981441652075, 1040.394676598146, 2753.3160193682006, 922.6376876499014, 2320.5132375220296, 1240.4911985213655, 2034.009429512706, 1465.9469231988724, 2988.971088978247, 5703.216893047112, 591.9252729568451, 4664.0019440462, 614.5020070671827, 1492.8743026759432, 973.4361274693874, 1633.798866644538, 1333.7039452688816, 1750.4130280393792, 1150.8078554127198]",1764.855,1102.699
228,./preprocessed_data_mis_not_standarized\Daily_Demand_Forecasting_Orders_preprocessed.csv,1.2,RF[mss3],"[1108.065741964893, 1058.0781890024446, 3277.288033657193, 855.2764938654958, 712.6855859376611, 3265.0503003582844, 718.8550629758861, 3371.01343441855, 954.7881705285167, 2401.1308032351026, 1064.1112848583214, 2653.593992733409, 577.8263440480657, 2510.810756656658, 1385.4819959753431, 2044.961089117842, 1592.564938327126, 1856.2994609754192, 2603.76266561882, 973.9455385371838, 4976.578791389419, 377.99997947573627, 1050.3699022823046, 1909.9675642062675, 1090.9872296294845, 1960.0313888228889, 1409.5296809485835, 1747.6594172225564, 1738.0117151207592, 1302.3262845049069, 1256.4399987422066, 1560.551815045136, 850.3440999389896, 2311.7282274082436, 658.3523341534691, 3549.719651385966, 1481.986708202821, 1059.1719283312443, 2730.283336168412, 491.89381338183097, 1354.928739467189, 685.2888889391784, 1357.5040649327411, 1318.5132195839212, 1013.8950745452171, 2439.2319416676064, 3178.829921623511, 874.16408804968, 1792.1688473291756, 1262.5960722996567, 3025.1363599834713, 699.5550430386828, 2550.158225151547, 1372.048785128905, 3647.241733972784, 1166.32655232423, 881.5059701739108, 2334.218947621142, 1163.8648760139704, 1399.5252751590938, 1024.8193348866405, 1255.180565373205, 5499.926504979513, 674.8175632753413, 1560.2266173726134, 984.3036596395143, 1024.757081971865, 2075.7916009976148, 724.3352710071518, 3573.8042196809165, 716.3941323966553, 4167.8187232168675, 916.9615479366961, 1914.5196423056707, 884.7195130526819, 2722.7759350766155, 3340.089913981642, 429.7232648713489, 1444.9060832792593, 1736.9727154524894, 1107.433993701968, 1822.3275028393493, 1227.781019854137, 2743.26986328638, 943.386809931414, 2359.505926374552, 1229.2439129834192, 1985.2941732417246, 1379.931183817039, 2852.776139559318, 5817.878590183668, 592.5287878819486, 4770.326182928741, 629.416822999642, 1451.9148299901308, 949.9067236705171, 1640.844737501575, 1303.9032950092262, 1650.245719647496, 1175.8116510751004]",1763.228,1111.005
